1 от 17.09.2018;;30.08.2018;"ООО ""Континент ЭТС""";5261108921;среднее предприятие;финансовая;субсидия; 191 397,36   ;2018-2020;
2 от 17.09.2018;;30.08.2018;"ООО ""Биком""";5262101750;малое предприятие;финансовая;субсидия; 1 014 430,57   ;2018-2020;
3 от 17.09.2018;;30.08.2018;"ЗАО ""Завод ТРУД""";5261005718;среднее предприятие;финансовая;субсидия; 71 618,30   ;2018-2020;
4 от 17.09.2018;;30.08.2018;"ООО ""Компания Хома""";5050033392;среднее предприятие;финансовая;субсидия; 542 816,43   ;2018-2019;
5 от 17.09.2018;;30.08.2018;"АО ""МЕДПОЛИМЕР ЛТД""";5252000858;среднее предприятие;финансовая;субсидия; 2 197 772,00   ;2018-2019;
6 от 17.09.2018;;30.08.2018;"ООО ""Питэко""";5263063634;малое предприятие;финансовая;субсидия; 1 197 986,28   ;2018-2020;
7 от 17.09.2018;;30.08.2018;"ООО ""Нижкартон""";5259030467;среднее предприятие;финансовая;субсидия; 5 000 000,00   ;2018;
8 от 17.09.2018;;30.08.2018;"ООО ""Перфоком""";5261022880;среднее предприятие;финансовая;субсидия; 1 283 512,30   ;2018-2020;
9 от 17.09.2018;;30.08.2018;"ООО ""ВОЛСКИ биохим""";5259032471;микропредприятие;финансовая;субсидия; 1 776 781,02   ;2018-2020;
10 от 17.09.2018;;30.08.2018;"ООО ""ОксиГазСервис""";5257108703;малое предприятие;финансовая;субсидия; 2 331 306,02   ;2018;
11 от 17.09.2018;;30.08.2018;"ООО ""Лесснабсбыт""";5262245222;микропредприятие;финансовая;субсидия; 482 454,16   ;2018-2020;
12 от 17.09.2018;;30.08.2018;"ООО ""Планета БАМ""";5262115833;малое предприятие;финансовая;субсидия; 1 871 525,37   ;2018-2019;
13 от 17.09.2018;;30.08.2018;"ООО ""Вектор""";5244024005;микропредприятие;финансовая;субсидия; 165 239,69   ;2018-2020;
